Fisacal year ,Income Statement,    Total Revenue,    Gross Profit,    Total Operating Profit/(Loss),    EBITDA (Analyst Normalized),    EBIT (Analyst Normalized),    Net Income from Continuing Operations,    Net Income (Analyst Normalized),    Diluted EPS from Continuing operations,    EPS (Analyst Normalized),    Diluted Weighted Average Shares Outstanding,    Common Dividend per Share (Ex-date),Balance Sheet,    Total Current Assets,    Net Property Plant and Equipment,    Total Non-Current Assets,    Total Assets,    Total Current Liabilities,    Total Non-Current Liabilities,    Total Liabilities,    Total Equity,    Equity Attributable to Parent Stockholders,    Total Debt,    Total Shares Outstanding (TSO),    Working Capital,Cash Flow,    Cash Flow from Operating Activities Indirect,    Cash Flow from Investing Activities,    Cash Flow from Financing Activities,    Change in Cash,    Capital Expenditure (Calc),    Issuance of/(Payments for) Common Stock Net,    Cash Dividends Paid,    Cash and Cash Equivalents Beginning of Period,    Cash and Cash Equivalents End of Period,Ratios,    EBITDA Margin,    Revenue  Growth,    EBITDA  Growth,    EBIT  Growth,    Current Ratio,    Quick Ratio,    Debt to Equity,    Total Debt to Equity,    Total Asset Turnover,    Normalized Return on Equity,    Normalized Return on Assets,    Normalized Return on Invested Capital,Multiples*,    Stock Price,    Market Cap,    EV,    EV to Revenue,    EV to EBIT (Analyst Normalized),    EV to EBITDA (Analyst Normalized),    Price to Earnings (Analyst Normalized),    Forward Price to Earnings,    Price to Book (PB),    Price to Cash Flow (PCF),    Price to Tangible Book Value,Asset turnover by geographic area (Turnover ratio),U.S.,Non-U.S.,US; Area Asset turnover ,Net sales and revenue-US,Long-lived assets,Non-US. Area asset turnover,Net sales and revenue-Non-U.S,Long-lived assets
2021,,127004000,17878000,9324000,26097000,14027000,9945000,10389000,6.7,7.09,1468000000,,,82103000,79044000,162615000,244718000,74408000,104495000,178903000,65815000,59744000,110391000,1500000000,7695000,577000,15188000,-16355000,1744000,577000,22111000,,-186000,23117000,23542000,,20.15,3.69,18.2,51.03,1.1,0.84,1.16,1.68,0.53,20.05,4.33,6.53,,58.63,85122569,177281569,1.35,12.88,6.83,7.64,8.56,1.62,4.02,1.79,,1.69,1.29,US,104483,61644,Non-U.S,22521,17400
2020,,122485000,13672000,6634000,21791620,9093620,6321000,6681215,4.33,4.6,1442000000,0.38,,80924000,77451000,154270000,235194000,79910000,105607000,185517000,49677000,45030000,110863000,1400000000,1014000,396000,16670000,-21826000,5552000,396000,20533000,,-669000,22943000,23117000,,17.68,-10.75,-0.83,14.93,1.01,0.79,1.49,2.23,0.52,16.86,2.98,4.72,,41.64,59599648,145882648,1.26,26.45,7.87,15.31,6.83,1.35,4.07,1.53,,1.64,1.34,US,101431,61705,Non-U.S,21054,15746
2019,,137237000,13972000,5481000,23731000,9688000,6667000,6932000,4.57,4.82,1439000000,1.52,,74992000,80805000,153045000,228037000,84905000,97175000,182080000,45957000,41792000,104334000,1400000000,-9913000,-555000,15021000,-10899000,-4677000,-555000,23996000,,-2350000,23496000,22943000,,15.91,-6.67,50.87,-12.18,0.88,0.67,1.46,2.27,0.59,16.6,3,4.79,,36.6,52293496,134200496,0.93,10.06,4.82,5.9,5.68,1.17,2.77,1.33,,1.7,1.67,US,110614,64910,Non-U.S,26623,15962
2018,,147049000,14095000,4445000,17375500,11774000,8075000,9364000,5.58,6.54,1431000000,1.52,,75293000,82317000,152046000,227339000,82237000,102325000,184562000,42777000,38860000,104951000,1400000000,-6944000,5947000,15256000,-20763000,11454000,5947000,25497000,,-2242000,17848000,23496000,,9.84,1,-40.77,-27.14,0.92,0.73,1.71,2.45,0.67,25.67,4.25,6.98,,33.45,47211452,128047452,0.87,12.64,5.49,4.95,5.58,1.23,2.61,1.44,,1.74,1.94,US,116582,66959,Non-U.S,30467,15739
2017,,145588000,18231000,8661000,25087000,12826000,330000,9879000,0.22,6.61,1492000000,1.52,,68744000,79135000,143738000,212482000,76890000,99392000,176282000,36200000,35001000,94219000,1420407560,-8146000,2340000,17328000,-27572000,12584000,2340000,27633000,-4492000,-2233000,15160000,17848000,,16.78,-2.41,10.02,-1.75,0.89,0.68,1.86,2.6,0.64,23.23,4.35,7.65,,40.99,58222506,130883506,0.86,10.69,5.41,6.49,6.93,1.36,3.22,1.58,,1.71,2.27,US,111163,65147,Non-U.S,34425,15182
2016,,149184000,19031000,8686000,22504923,12685923,9269000,9628250,6,6.13,1570000000,1.52,,76203000,66945000,145487000,221690000,85181000,92434000,177615000,44075000,43836000,75123000,1524343989,-8978000,-1959000,16607000,-35643000,17077000,-1959000,27879000,-2500000,-2368000,17332000,15160000,,14.89,9.92,41.75,51.45,0.89,0.58,1.16,1.7,0.71,22.57,4.59,8.56,,34.84,53108145,108399145,0.67,8.2,8.2,5.66,6.01,1.17,3.67,1.36,,0,0,,,,,,
2015,,135725000,17426000,5538000,19160538,11673538,9590000,8421500,5.89,5.04,1640000000,1.38,,69408000,51401000,124930000,194338000,71217000,82798000,154015000,40323000,39871000,63111000,1500000000,-1809000,-2333000,11769000,-27710000,13608000,-2333000,21909000,-3520000,-2242000,21189000,17332000,,11.54,-12.96,34.18,84.32,0.97,0.7,1.08,1.57,0.73,22.62,4.43,8.94,,34.01,52925577,87363577,0.57,7.37,7.37,7.03,,1.57,4.47,1.91,,0,0,,,,,,
2014,,155929000,13808000,1650000,15118615,7880615,4018000,5505500,1.65,3.03,1687000000,1.2,,83626000,34803000,93875000,177501000,65657000,75820000,141477000,36024000,35457000,46665000,1600000000,17969000,377000,10061000,-15359000,5675000,377000,11867000,-3277000,-3165000,22042000,21189000,,7.49,0.32,-25.09,-41.19,1.27,0.82,0.88,1.3,0.89,11.31,2.5,5.54,,34.91,56089767,73234767,0.47,10.19,10.19,13.97,,1.4,5.93,1.68,,0,0,,,,,,
2013,,155427000,18054000,5672000,16137692,8096692,5331000,5566640,2.38,3.15,1676000000,0,,81501000,29250000,84843000,166344000,62412000,60758000,123170000,43174000,42607000,36183000,1500000000,19089000,1999000,12630000,-14362000,3731000,1999000,9819000,-2438000,-1687000,18422000,20021000,,10.03,2.08,52.62,,1.31,0.83,0.51,0.84,0.97,19.35,3.61,9.01,,40.87,56767356,68867356,0.45,,,13.76,,1.99,6.6,2.79,,0,0,,,,,,
2012,,152256000,10813000,-3218000,10866000,-27896000,6136000,,2.92,3.29,1675000000,,,69996000,25845000,79426000,149422000,53992000,58430000,112422000,37000000,36244000,16050000,1366373526,16004000,2359000,10605000,-3505000,-4741000,2359000,9118000,-5098000,-939000,16071000,18422000,,6.71,1.32,-38.8,,1.3,0.78,0.28,0.43,1.01,116.8,22.38,61.24,,28.83,45148354,44468354,0.29,,4.78,8.77,,1.52,4.87,2.31,,0,0,,,,,,
